iter	MultiClass
330	1.363992283
331	1.363823923
332	1.363690957
333	1.363556282
334	1.363398515
335	1.36321493
336	1.363078115
337	1.36294229
338	1.362779948
339	1.362646462
340	1.362566667
341	1.362453214
342	1.362337251
343	1.362233613
344	1.362141241
345	1.361989286
346	1.361886919
347	1.361750429
348	1.361648734
349	1.361553212
350	1.361457558
351	1.361315287
352	1.361206668
353	1.361092157
354	1.360954213
355	1.360792433
356	1.360668676
357	1.36058394
358	1.360454625
359	1.360328566
360	1.36019859
361	1.360027134
362	1.359873217
363	1.359764902
364	1.359621613
365	1.359511858
366	1.359374042
367	1.359228722
368	1.359041117
369	1.358918224
370	1.358753937
371	1.358600396
372	1.358467529
373	1.358308062
374	1.358143504
375	1.358028762
376	1.357870969
377	1.357790512
378	1.357629097
379	1.357453931
380	1.357315951
381	1.357182754
382	1.357047391
383	1.356927538
384	1.356833701
385	1.356729925
386	1.356558774
387	1.356401323
388	1.356207526
389	1.356093764
390	1.355954101
391	1.355804418
392	1.355681833
393	1.355480375
394	1.355388229
395	1.355286699
396	1.355167619
397	1.355054227
398	1.354962597
399	1.35490029
400	1.354817182
401	1.354612304
402	1.354433129
403	1.354287748
404	1.354196749
405	1.354017375
406	1.353887598
407	1.353765903
408	1.353657217
409	1.35354326
410	1.353410474
411	1.353293683
412	1.353180785
413	1.353048153
414	1.352936134
415	1.352791317
416	1.352664039
417	1.352577114
418	1.352482189
419	1.352374156
420	1.352263456
421	1.352111857
422	1.352053614
423	1.351932833
424	1.351810318
425	1.351702476
426	1.351586995
427	1.351476764
428	1.351368511
429	1.351247975
430	1.351120827
431	1.350948981
432	1.350807337
433	1.350614876
434	1.350517246
435	1.350385132
436	1.350241499
437	1.350102655
438	1.349985045
439	1.349868495
440	1.349716984
441	1.349603048
442	1.349421413
443	1.349309555
444	1.349170852
445	1.349064661
446	1.348951443
447	1.348845506
448	1.348788714
449	1.348675931
450	1.348551203
451	1.348449377
452	1.348275845
453	1.348096542
454	1.348000945
455	1.347895224
456	1.347772457
457	1.347692027
458	1.347563083
459	1.347468111
460	1.347290309
461	1.347200324
462	1.3471251
463	1.3470108
464	1.346907459
465	1.346838841
466	1.346735725
467	1.346604565
468	1.346499643
469	1.346395989
470	1.346240774
471	1.346149571
472	1.346063371
473	1.345986815
474	1.345844895
475	1.345672193
476	1.345591943
477	1.345446212
478	1.345325596
479	1.345185531
480	1.345027901
481	1.344915287
482	1.34475618
483	1.344652099
484	1.344461258
485	1.344307448
486	1.344201197
487	1.344093767
488	1.343922664
489	1.343809706
490	1.343684565
491	1.343581623
492	1.343499608
493	1.343343562
494	1.343171072
495	1.343037739
496	1.342901075
497	1.342762257
498	1.342632696
499	1.34246551
